"","gene_id","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105154.count","SRR2105158.count","SRR2105187.count","SRR2105188.count","SRR2105192.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105228.count","SRR2105230.count","SRR2105272.count","SRR2105275.count","SRR2105276.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105376.count","SRR2105429.count","SRR2105430.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105477.count","SRR2105478.count","SRR2105488.count","SRR2105491.count","SRR2105492.count"
"2262","hsa-miR-6804-3p",0,39.7408894011048,44.3626200563405,0,0,0,36.9405810753403,12.0886825753729,0,0,0,23.522216733705,0,0,0,49.4706638963095,0,27.5069111114167,33.0797221303341,30.9329373917347,24.280684715309,0,0,0,0,0,0,0,51.7393028991256,95.6099115608318,50.9878903760357,0,0,0,39.5574836166089,27.6258356815294,47.6440040020963,30.2265479770883
"2263","hsa-miR-6804-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4664686958674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2264","hsa-miR-6805-3p",0,0,0,0,0,0,18.4702905376702,0,0,0,25.5499629525537,0,0,13.8678944375875,0,0,31.2519532470779,27.5069111114167,0,30.9329373917347,0,30.8499151627333,0,27.1193795085968,24.1318564637178,0,0,0,17.2464342997085,47.8049557804159,12.7469725940089,0,26.3150969711323,0,0,0,23.8220020010482,0
"2265","hsa-miR-6805-5p",0,79.4817788022096,22.1813100281703,0,22.3608595514412,39.2156862745098,0,0,21.3410730291519,44.2223499756777,25.5499629525537,0,0,0,70.2321171471714,0,0,13.7534555557084,33.0797221303341,15.4664686958674,24.280684715309,46.2748727441,46.1169525917727,108.477518034387,24.1318564637178,0,55.5823174120873,0,34.4928685994171,15.9349852601386,0,39.3933425251133,52.6301939422647,22.5057952422749,13.185827872203,0,71.4660060031445,0
"2266","hsa-miR-6806-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2267","hsa-miR-6806-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2268","hsa-miR-6807-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2269","hsa-miR-6807-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9349852601386,0,0,0,0,13.185827872203,0,0,0
"2270","hsa-miR-6808-3p",4324.89238293486,5722.68807375909,4702.4377259721,3007.37052283876,1967.75564052682,3450.98039215686,3195.36026301694,5464.08452406857,3734.68778010158,5174.01494715429,6285.29088632822,3128.45482558276,4059.56671551349,4285.17938121455,4108.57885310953,3842.22156261337,4906.55665979124,4799.95598894222,4101.88554416143,3124.22667656521,5487.43474565983,5074.81104426963,7470.94631986718,6861.203015675,5477.93141726393,2816.08780417359,3409.04880127469,5694.00891236178,5242.9160271114,6342.12413353518,5391.96940726577,4766.5944455387,4157.78532143891,3060.78815294938,2808.58133677923,8729.76407536328,3001.57225213207,2705.2760439494
"2271","hsa-miR-6808-5p",60.6293324710495,158.963557604419,133.087860169022,0,67.0825786543235,78.4313725490196,36.9405810753403,84.6207780276106,128.046438174911,0,51.0999259051074,0,0,83.2073666255253,0,32.9804425975397,281.267579223701,137.534555557084,66.1594442606682,46.3994060876021,97.1227388612359,92.5497454881999,138.350857775318,108.477518034387,0,36.1036897970973,18.5274391373624,41.2609341475491,68.9857371988341,143.414867341248,127.469725940089,393.933425251133,421.041551538117,90.0231809690995,0,82.8775070445881,95.2880080041927,45.3398219656324
