"","gene_id","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"155","hsa-miR-1245b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","hsa-miR-1246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","hsa-miR-1247-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","hsa-miR-1247-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","hsa-miR-1248",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","hsa-miR-1249-3p",0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"161","hsa-miR-1249-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","hsa-miR-1250-3p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","hsa-miR-1250-5p",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","hsa-miR-1251-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","hsa-miR-1251-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","hsa-miR-1252-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","hsa-miR-1252-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","hsa-miR-1253",0,0,0,0,0,0,0,0,0,0,2,1,0,1,6,0,0,0,0,0,0
"169","hsa-miR-1255a",0,0,3,1,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0
"170","hsa-miR-1255b-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"171","hsa-miR-1255b-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","hsa-miR-1256",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","hsa-miR-1257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","hsa-miR-1258",52,44,65,47,188,415,253,147,155,147,40,35,136,226,183,30,28,50,58,38,63
"175","hsa-miR-125a-3p",1,0,1,2,2,0,0,2,4,4,0,2,4,8,2,1,0,3,1,0,2
"176","hsa-miR-125a-5p",85,72,120,93,337,730,462,268,287,251,124,90,191,345,307,55,39,77,79,53,87
"177","hsa-miR-125b-1-3p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"178","hsa-miR-125b-2-3p",0,0,0,1,0,3,0,0,2,14,0,1,1,0,7,0,0,0,0,0,0
"179","hsa-miR-125b-5p",0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0
"180","hsa-miR-126-3p",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"181","hsa-miR-126-5p",0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"182","hsa-miR-1260a",7,13,9,11,5,23,8,12,40,36,12,4,23,28,12,5,0,23,4,0,3
"183","hsa-miR-1260b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","hsa-miR-1261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","hsa-miR-1262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","hsa-miR-1263",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"187","hsa-miR-1264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","hsa-miR-1265",0,0,1,1,5,6,2,2,8,0,0,1,11,3,2,0,3,2,2,1,1
"189","hsa-miR-1266-3p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","hsa-miR-1266-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","hsa-miR-1267",0,0,1,1,1,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0
"192","hsa-miR-1268a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","hsa-miR-1268b",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"194","hsa-miR-1269a",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"195","hsa-miR-1269b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","hsa-miR-127-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","hsa-miR-127-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","hsa-miR-1270",0,0,0,1,0,0,1,0,2,2,0,0,2,0,0,0,0,1,0,0,0
"199","hsa-miR-1271-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","hsa-miR-1271-5p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"201","hsa-miR-1272",21,19,40,31,39,59,31,27,117,197,34,23,239,81,123,13,7,31,26,11,13
"202","hsa-miR-1273c",14,26,29,28,54,78,75,30,59,70,28,20,67,79,157,30,29,25,33,12,22
"203","hsa-miR-1273h-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
